parent,start_time,end_time,duration_s,point_count,exclusion_reason
4月30日08_00_4月30日15_00,2024-04-30 12:13:40,2024-04-30 12:13:40,30,1,ambiguous_external_supply
4月30日08_00_4月30日15_00,2024-04-30 12:14:10,2024-04-30 12:23:41,601,20,insufficient_continuous_operation_duration
4月30日08_00_4月30日15_00,2024-04-30 12:24:10,2024-04-30 12:28:40,300,10,ambiguous_external_supply
4月30日08_00_4月30日15_00,2024-04-30 12:29:11,2024-04-30 14:09:41,6060,202,quality_cut_without_natural_transition
4月30日08_00_4月30日15_00,2024-04-30 14:10:11,2024-04-30 14:10:11,30,1,long_stop_dwell_core
4月30日08_00_4月30日15_00,2024-04-30 14:10:41,2024-04-30 14:59:41,2970,99,confirmed_shore
5月7日08_00_5月7日18_00,2024-05-07 08:00:00,2024-05-07 08:00:00,30,1,physical_inconsistency_negative_balance
5月7日08_00_5月7日18_00,2024-05-07 08:00:30,2024-05-07 08:50:30,3030,101,stationary_only_without_sailing_task
5月7日08_00_5月7日18_00,2024-05-07 08:58:00,2024-05-07 09:40:00,2550,85,quality_cut_without_natural_transition
5月7日08_00_5月7日18_00,2024-05-07 09:40:30,2024-05-07 09:42:00,120,4,ambiguous_external_supply
5月7日08_00_5月7日18_00,2024-05-07 09:42:30,2024-05-07 11:16:31,5671,189,quality_cut_without_natural_transition
5月7日08_00_5月7日18_00,2024-05-07 11:17:01,2024-05-07 11:32:01,930,31,ambiguous_external_supply
5月7日08_00_5月7日18_00,2024-05-07 11:32:31,2024-05-07 12:37:31,3930,131,quality_cut_without_natural_transition
5月7日08_00_5月7日18_00,2024-05-07 12:38:01,2024-05-07 13:23:01,2730,91,long_stop_dwell_core
5月7日08_00_5月7日18_00,2024-05-07 13:23:31,2024-05-07 14:16:01,3180,106,ambiguous_external_supply
5月7日08_00_5月7日18_00,2024-05-07 14:16:31,2024-05-07 16:13:31,7050,235,quality_cut_without_natural_transition
5月7日08_00_5月7日18_00,2024-05-07 16:14:01,2024-05-07 16:16:01,150,5,ambiguous_external_supply
5月7日08_00_5月7日18_00,2024-05-07 16:16:31,2024-05-07 16:17:01,60,2,stationary_only_without_sailing_task
5月7日08_00_5月7日18_00,2024-05-07 16:17:31,2024-05-07 16:19:01,120,4,ambiguous_external_supply
5月7日08_00_5月7日18_00,2024-05-07 16:19:31,2024-05-07 16:49:31,1830,61,long_stop_dwell_core
5月7日08_00_5月7日18_00,2024-05-07 17:04:01,2024-05-07 17:04:01,30,1,long_stop_dwell_core
5月7日08_00_5月7日18_00,2024-05-07 17:10:31,2024-05-07 17:59:31,2970,99,confirmed_shore
5月8日08_00_5月8日17_00,2024-05-08 08:00:04,2024-05-08 08:39:34,2400,80,stationary_only_without_sailing_task
5月8日08_00_5月8日17_00,2024-05-08 08:46:34,2024-05-08 08:51:34,330,11,long_stop_dwell_core
5月8日08_00_5月8日17_00,2024-05-08 08:52:04,2024-05-08 10:10:04,4710,157,quality_cut_without_natural_transition
5月8日08_00_5月8日17_00,2024-05-08 10:10:34,2024-05-08 10:10:34,30,1,invalid_power_alignment
5月8日08_00_5月8日17_00,2024-05-08 10:11:04,2024-05-08 12:09:35,7141,238,quality_cut_without_natural_transition
5月8日08_00_5月8日17_00,2024-05-08 12:10:05,2024-05-08 14:10:35,7260,242,long_stop_dwell_core
5月8日08_00_5月8日17_00,2024-05-08 16:07:35,2024-05-08 16:11:35,270,9,long_stop_dwell_core
5月8日08_00_5月8日17_00,2024-05-08 16:20:35,2024-05-08 16:59:36,2371,79,confirmed_shore
5月9日08_00_5月9日17_00,2024-05-09 08:00:07,2024-05-09 08:13:07,810,27,stationary_only_without_sailing_task
5月9日08_00_5月9日17_00,2024-05-09 08:13:38,2024-05-09 08:13:38,30,1,invalid_power_alignment
5月9日08_00_5月9日17_00,2024-05-09 08:20:37,2024-05-09 08:43:37,1410,47,quality_cut_without_natural_transition
5月9日08_00_5月9日17_00,2024-05-09 08:44:07,2024-05-09 08:46:07,150,5,ambiguous_external_supply
5月9日08_00_5月9日17_00,2024-05-09 08:46:37,2024-05-09 09:25:38,2371,79,quality_cut_without_natural_transition
5月9日08_00_5月9日17_00,2024-05-09 09:26:08,2024-05-09 09:29:38,240,8,ambiguous_external_supply
5月9日08_00_5月9日17_00,2024-05-09 09:30:08,2024-05-09 09:54:38,1500,50,quality_cut_without_natural_transition
5月9日08_00_5月9日17_00,2024-05-09 09:55:08,2024-05-09 10:05:08,630,21,ambiguous_external_supply
5月9日08_00_5月9日17_00,2024-05-09 10:05:38,2024-05-09 11:08:08,3780,126,quality_cut_without_natural_transition
5月9日08_00_5月9日17_00,2024-05-09 11:08:38,2024-05-09 13:42:38,9270,309,confirmed_shore
5月9日08_00_5月9日17_00,2024-05-09 13:43:08,2024-05-09 13:54:38,720,24,unexplained_source_load_inconsistency
5月9日08_00_5月9日17_00,2024-05-09 13:55:08,2024-05-09 14:43:38,2940,98,stationary_only_without_sailing_task
5月9日08_00_5月9日17_00,2024-05-09 14:50:08,2024-05-09 16:07:08,4650,155,quality_cut_without_natural_transition
5月9日08_00_5月9日17_00,2024-05-09 16:07:38,2024-05-09 16:10:38,210,7,long_stop_dwell_core
5月9日08_00_5月9日17_00,2024-05-09 16:11:08,2024-05-09 16:59:38,2940,98,confirmed_shore
5月10日08_00_5月10日10_00,2024-05-10 08:00:11,2024-05-10 08:24:11,1470,49,stationary_only_without_sailing_task
5月10日08_00_5月10日10_00,2024-05-10 09:19:41,2024-05-10 09:22:42,211,7,long_stop_dwell_core
5月10日08_00_5月10日10_00,2024-05-10 09:23:12,2024-05-10 09:59:42,2220,74,confirmed_shore
5月11日08_00_5月11日11_00,2024-05-11 08:00:16,2024-05-11 08:22:46,1380,46,stationary_only_without_sailing_task
5月11日08_00_5月11日11_00,2024-05-11 08:29:46,2024-05-11 08:44:46,930,31,long_stop_dwell_core
5月11日08_00_5月11日11_00,2024-05-11 08:45:16,2024-05-11 10:19:46,5700,190,quality_cut_without_natural_transition
5月11日08_00_5月11日11_00,2024-05-11 10:20:16,2024-05-11 10:20:46,60,2,physical_inconsistency_negative_balance
5月11日08_00_5月11日11_00,2024-05-11 10:21:16,2024-05-11 10:59:46,2340,78,confirmed_shore
