parent,start_time,end_time,duration_s,sailing_before,sailing_after,bracketed
5月13日08_00_5月13日11_00,2024-05-13 08:57:50,2024-05-13 09:01:20,240,False,True,False
5月13日08_00_5月13日11_00,2024-05-13 10:13:21,2024-05-13 10:16:21,210,True,False,False
5月13日08_00_5月13日11_00,2024-05-13 10:24:21,2024-05-13 10:59:51,2160,False,False,False
5月14日12_00_5月14日19_00,2024-05-14 12:00:23,2024-05-14 12:24:53,1500,False,False,False
5月14日12_00_5月14日19_00,2024-05-14 12:31:53,2024-05-14 13:09:53,2310,False,True,False
5月14日12_00_5月14日19_00,2024-05-14 15:11:53,2024-05-14 15:15:53,270,True,True,True
5月14日12_00_5月14日19_00,2024-05-14 15:27:53,2024-05-14 16:47:23,4800,True,True,True
5月14日12_00_5月14日19_00,2024-05-14 18:24:23,2024-05-14 18:29:53,360,True,False,False
5月14日12_00_5月14日19_00,2024-05-14 18:35:53,2024-05-14 18:59:53,1470,False,False,False
5月15日08_00_5月15日17_00,2024-05-15 08:00:24,2024-05-15 08:14:54,900,False,False,False
5月15日08_00_5月15日17_00,2024-05-15 08:21:24,2024-05-15 08:23:24,150,False,True,False
5月15日08_00_5月15日17_00,2024-05-15 08:31:24,2024-05-15 09:01:24,1830,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 11:22:55,2024-05-15 11:39:25,1020,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 11:41:25,2024-05-15 11:43:25,150,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 11:45:25,2024-05-15 11:52:55,480,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 12:09:55,2024-05-15 12:34:55,1530,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 13:01:55,2024-05-15 13:56:55,3330,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 14:08:55,2024-05-15 14:31:25,1380,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 16:31:55,2024-05-15 16:33:55,150,True,True,True
5月15日08_00_5月15日17_00,2024-05-15 16:38:55,2024-05-15 16:43:25,300,True,False,False
5月15日08_00_5月15日17_00,2024-05-15 16:50:25,2024-05-15 16:59:55,600,False,False,False
5月17日08_00_5月17日18_00,2024-05-17 08:00:28,2024-05-17 08:10:28,630,False,False,False
5月17日08_00_5月17日18_00,2024-05-17 08:16:28,2024-05-17 08:34:58,1140,False,True,False
5月17日08_00_5月17日18_00,2024-05-17 11:18:28,2024-05-17 11:33:28,930,True,False,False
5月17日08_00_5月17日18_00,2024-05-17 11:39:58,2024-05-17 15:39:29,14401,False,False,False
5月17日08_00_5月17日18_00,2024-05-17 16:58:59,2024-05-17 17:39:59,2490,True,False,False
5月17日08_00_5月17日18_00,2024-05-17 17:46:29,2024-05-17 17:59:59,840,False,False,False
5月20日08_00_5月20日18_00,2024-05-20 08:00:03,2024-05-20 08:21:33,1320,False,False,False
5月20日08_00_5月20日18_00,2024-05-20 10:38:03,2024-05-20 11:50:33,4380,True,True,True
5月20日08_00_5月20日18_00,2024-05-20 13:49:04,2024-05-20 13:59:34,660,True,False,False
5月20日08_00_5月20日18_00,2024-05-20 14:09:34,2024-05-20 15:18:04,4140,False,False,False
5月20日08_00_5月20日18_00,2024-05-20 15:24:34,2024-05-20 15:25:34,90,False,True,False
5月20日08_00_5月20日18_00,2024-05-20 17:03:04,2024-05-20 17:31:34,1740,True,False,False
5月20日08_00_5月20日18_00,2024-05-20 17:38:34,2024-05-20 17:59:34,1290,False,False,False
5月21日05_00_5月21日11_00,2024-05-21 05:00:05,2024-05-21 05:29:05,1770,False,False,False
5月21日05_00_5月21日11_00,2024-05-21 05:36:05,2024-05-21 05:43:05,450,False,True,False
5月21日05_00_5月21日11_00,2024-05-21 07:48:05,2024-05-21 08:30:05,2550,True,True,True
5月21日05_00_5月21日11_00,2024-05-21 10:24:05,2024-05-21 10:26:35,180,True,True,True
5月21日05_00_5月21日11_00,2024-05-21 10:31:05,2024-05-21 10:33:35,180,True,True,True
5月21日05_00_5月21日11_00,2024-05-21 10:34:35,2024-05-21 10:34:35,30,True,False,False
5月21日05_00_5月21日11_00,2024-05-21 10:40:35,2024-05-21 10:59:35,1170,False,False,False
5月24日08_00_5月24日19_00,2024-05-24 08:00:12,2024-05-24 08:08:12,510,False,False,False
5月24日08_00_5月24日19_00,2024-05-24 08:14:12,2024-05-24 08:19:12,330,False,True,False
5月24日08_00_5月24日19_00,2024-05-24 08:25:12,2024-05-24 08:46:12,1290,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 11:22:13,2024-05-24 11:42:43,1260,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 11:43:43,2024-05-24 11:44:43,90,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 11:48:13,2024-05-24 12:03:43,960,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 12:08:13,2024-05-24 12:25:43,1080,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 12:29:13,2024-05-24 12:36:43,480,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 13:06:13,2024-05-24 14:43:43,5880,True,True,True
5月24日08_00_5月24日19_00,2024-05-24 16:39:13,2024-05-24 18:29:13,6630,True,False,False
5月24日08_00_5月24日19_00,2024-05-24 18:35:13,2024-05-24 18:59:43,1500,False,False,False
5月27日08_00_5月27日19_00,2024-05-27 08:00:20,2024-05-27 08:12:20,750,False,False,False
5月27日08_00_5月27日19_00,2024-05-27 08:18:50,2024-05-27 08:22:50,270,False,True,False
5月27日08_00_5月27日19_00,2024-05-27 08:41:50,2024-05-27 08:41:50,30,True,True,True
5月27日08_00_5月27日19_00,2024-05-27 09:53:21,2024-05-27 09:59:21,390,True,True,True
5月27日08_00_5月27日19_00,2024-05-27 11:01:51,2024-05-27 11:04:21,180,True,False,False
5月27日08_00_5月27日19_00,2024-05-27 11:10:21,2024-05-27 15:29:51,15600,False,False,False
5月27日08_00_5月27日19_00,2024-05-27 15:35:51,2024-05-27 16:39:21,3840,False,True,False
5月27日08_00_5月27日19_00,2024-05-27 17:55:51,2024-05-27 18:00:51,330,True,False,False
5月27日08_00_5月27日19_00,2024-05-27 18:06:51,2024-05-27 18:59:51,3210,False,False,False
5月29日14_00_5月29日17_00,2024-05-29 14:00:26,2024-05-29 14:05:26,330,False,False,False
5月29日14_00_5月29日17_00,2024-05-29 14:14:56,2024-05-29 14:25:56,690,False,True,False
5月29日14_00_5月29日17_00,2024-05-29 16:24:27,2024-05-29 16:29:27,330,True,False,False
5月29日14_00_5月29日17_00,2024-05-29 16:35:57,2024-05-29 16:59:57,1470,False,False,False
5月30日05_00_5月30日17_00,2024-05-30 05:00:28,2024-05-30 05:18:28,1110,False,False,False
5月30日05_00_5月30日17_00,2024-05-30 05:24:28,2024-05-30 05:27:28,210,False,True,False
5月30日05_00_5月30日17_00,2024-05-30 05:30:58,2024-05-30 05:32:28,120,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 07:14:29,2024-05-30 07:55:29,2490,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 10:10:59,2024-05-30 10:43:29,1980,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 10:56:29,2024-05-30 11:36:59,2460,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 12:03:59,2024-05-30 12:08:29,300,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 12:21:29,2024-05-30 13:54:59,5640,True,True,True
5月30日05_00_5月30日17_00,2024-05-30 15:47:30,2024-05-30 15:58:30,690,True,False,False
5月30日05_00_5月30日17_00,2024-05-30 16:05:30,2024-05-30 16:59:30,3270,False,False,False
6月4日08_00_6月4日12_00,2024-06-04 08:00:12,2024-06-04 08:37:42,2280,False,False,False
6月4日08_00_6月4日12_00,2024-06-04 08:43:42,2024-06-04 08:55:42,750,False,True,False
6月4日08_00_6月4日12_00,2024-06-04 09:55:42,2024-06-04 09:55:42,30,True,True,True
6月4日08_00_6月4日12_00,2024-06-04 09:58:42,2024-06-04 09:59:42,90,True,True,True
6月4日08_00_6月4日12_00,2024-06-04 11:02:12,2024-06-04 11:15:42,840,True,False,False
6月4日08_00_6月4日12_00,2024-06-04 11:21:42,2024-06-04 11:59:42,2310,False,False,False
6月5日08_00_6月5日19_00,2024-06-05 08:00:14,2024-06-05 08:08:44,540,False,False,False
6月5日08_00_6月5日19_00,2024-06-05 08:14:44,2024-06-05 08:26:14,720,False,True,False
6月5日08_00_6月5日19_00,2024-06-05 08:44:44,2024-06-05 08:46:14,120,True,True,True
6月5日08_00_6月5日19_00,2024-06-05 09:30:14,2024-06-05 09:30:14,30,True,True,True
6月5日08_00_6月5日19_00,2024-06-05 10:01:14,2024-06-05 10:09:14,510,True,True,True
6月5日08_00_6月5日19_00,2024-06-05 11:01:14,2024-06-05 11:06:14,330,True,False,False
6月5日08_00_6月5日19_00,2024-06-05 11:13:14,2024-06-05 14:27:15,11671,False,False,False
6月5日08_00_6月5日19_00,2024-06-05 14:33:15,2024-06-05 17:59:15,12390,False,False,False
6月5日08_00_6月5日19_00,2024-06-05 18:05:45,2024-06-05 18:59:45,3270,False,False,False
